Customer       monthly_spend    limits  penalty_amount
--------  ------------------  --------  --------------
      A1       897682.755069  500000.0         10000.0
     A10            512000.5  500000.0         10000.0
     A11            12000.75  500000.0             0.0
     A12           305000.25  500000.0             0.0
     A13             99000.1  500000.0             0.0
     A14            450000.9  500000.0             0.0
     A15             7500.33  500000.0             0.0
      A2  1399044.1816000002  100000.0          2000.0
      A3       161344.046964   10000.0           200.0
      A4          814931.515   10001.0          200.02
      A5         613314.7208   10002.0          200.04
      A6         671220.1565  100000.0          2000.0
      A7         191180.0116  100001.0         2000.02
      A8         236379.3687  100002.0         2000.04
      A9            88044.12  100003.0             0.0
